storyPriority,storyType,storyTitle,storyPoints,userPreviousSuccessRate,completed,userSkills,skills,tags
1,3,Epic: Develop a machine learning pipeline for predictive analytics,10.527984954254029,0.882273712699932,False,"['Machine Learning', 'Pipeline Development', 'Analytics']","['Machine Learning', 'Pipeline', 'Analytics']","['Machine Learning', 'Pipeline', 'Analytics']"
2,0,User story: Improve search functionality for e-commerce site,3.654797137425256,0.9333707320754508,True,"['Search Engine Optimization', 'UI Design', 'User Experience']","['Search', 'Functionality', 'User Story']","['Search', 'Functionality', 'User']"
2,2,Task: Implement API gateway,4.900876883321189,0.4897888645800088,False,"['API Design', 'API Gateway', 'Microservices']","['API Gateway', 'Task', 'Implementation']","['Backend', 'API', 'Gateway']"
2,1,Task: Develop a desktop application for Windows,7.111076262073883,0.6017406050554395,False,"['Desktop App Development', 'Windows', 'Visual Studio']","['Desktop App', 'Development', 'Windows']","['Desktop App', 'Development', 'Windows']"
0,5,Research: New machine learning algorithm for natural language processing,3.3,0.985,True,"['Research', 'Machine Learning', 'Deep Learning']","['Research', 'New Tech', 'Machine Learning']","['Research', 'Machine Learning', 'New Tech']"
0,0,User story: Improve accessibility,2.210199378752693,0.8946809926328162,True,"['Accessibility', 'UI Design', 'UX']","['Accessibility', 'Improvement', 'User Story']","['Accessibility', 'Improvement', 'User']"
2,1,Task: Develop a web application for social media,6.964320273286766,0.6416145719476153,False,"['Web App Development', 'Social Media', 'JavaScript']","['Web App', 'Development', 'Social Media']","['Web App', 'Development', 'Social Media']"
4,4,Bug: Fix UI issue in React application,10.164352108970112,0.5781339796286775,True,"['Bug Fixing', 'UI', 'React']","['Bug Fixing', 'UI', 'Issue']","['Frontend', 'Bug Fix', 'UI']"
3,4,Bug: Fix security issue in Node.js application,12.876813771863516,0.5802831881309819,True,"['Bug Fixing', 'Security', 'Node.js']","['Bug Fixing', 'Security', 'Issue']","['Frontend', 'Bug Fix', 'Security']"
1,2,Task: Implement a content delivery network for high traffic using AWS,7.849697668313552,0.8475645072597358,True,"['CDN', 'API Integration', 'Cloud Computing']","['CDN', 'Implementation', 'Task']","['Backend', 'CDN', 'Implementation']"
0,0,User story: Enhance security,3.0750600052211388,0.8648271951727015,True,"['Security', 'Authentication', 'Authorization']","['Security', 'Enhancement', 'User Story']","['Security', 'Enhancement', 'User']"
2,2,Task: Implement payment gateway,5.937591826032046,0.4758417115111232,False,"['Payment Gateway', 'API Integration', 'Cloud Computing']","['Payment', 'Gateway', 'Task']","['Backend', 'Payment', 'Gateway']"
4,6,Refactor: Optimize database schema,5.91217183995262,0.6557734022771485,False,"['Database Optimization', 'Schema Design', 'Database Performance']","['Database', 'Refactor', 'Optimization']","['Database', 'Refactor', 'Optimization']"
4,6,Refactor: Simplify database queries for performance,4.612590007831708,0.6399907830512116,False,"['Database Optimization', 'Query Simplification', 'Database Performance']","['Database', 'Refactor', 'Simplification']","['Database', 'Refactor', 'Simplification']"
3,4,Bug: Fix memory leak in the application,11.716849646451555,0.6215766297657634,True,"['Bug Fixing', 'Memory Profiling', 'Application Development']","['Bug Fixing', 'Memory Leak', 'Fix Bug']","['Backend', 'Bug Fix', 'Memory']"
4,6,Refactor database schema,5.9157248790570245,0.6181595862586434,True,"['SQL', 'MongoDB', 'PostgreSQL']","['Database Schema', 'Refactoring', 'Database Design']","['Database', 'Refactor', 'Schema']"
3,6,Refactor: Optimize caching for high traffic using Redis,8.121588393281677,0.6399324353917962,False,"['Caching', 'Database Optimization', 'Redis']","['Caching', 'Optimization', 'Redis']","['Backend', 'Caching', 'Optimization']"
2,2,Task: Develop mobile app,4.812793121944698,0.491309073917666,False,"['Mobile App Development', 'iOS', 'Android']","['Mobile App', 'Development', 'Task']","['Mobile App', 'Development', 'Task']"
2,1,Task: Develop a web application for e-commerce,7.2191896829170465,0.6181595862586434,False,"['Web App Development', 'E-commerce', 'JavaScript']","['Web App', 'Development', 'E-commerce']","['Web App', 'Development', 'E-commerce']"
1,5,Research: New machine learning algorithm for recommender systems,4.228207507179066,0.9161384095572738,True,"['Research', 'Machine Learning', 'Deep Learning']","['Research', 'New Tech', 'Machine Learning']","['Research', 'Machine Learning', 'New Tech']"
3,4,Bug: Fix login issue on Android,9.13699284356314,0.6074956057904872,True,"['Bug Fixing', 'Android Development', 'Authentication']","['Bug Fixing', 'Login Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Login']"
2,0,User story: Improve search functionality for e-commerce site,3.4216630861879582,0.8475645072597358,True,"['Search Engine Optimization', 'UI Design', 'User Experience']","['Search', 'Functionality', 'User Story']","['Search', 'Functionality', 'User']"
0,5,Research: New AI technology,1.2,0.978,True,"['Research', 'Artificial Intelligence', 'Machine Learning']","['Research', 'New Tech', 'AI']","['Research', 'AI', 'New Tech']"
0,0,User story: Enhance user authentication,2.6380001035177147,0.9143498181271826,True,"['Security', 'Authentication', 'Authorization']","['Security', 'Enhancement', 'User Story']","['Security', 'Enhancement', 'User']"
3,6,Refactor: Simplify API endpoints,5.1,0.682,False,"['API Optimization', 'Endpoint Simplification', 'API Performance']","['API', 'Refactor', 'Simplification']","['API', 'Refactor', 'Simplification']"
3,6,Refactor: Optimize database schema,5.1,0.651,False,"['Database Optimization', 'Schema Design', 'Database Performance']","['Database', 'Refactor', 'Optimization']","['Database', 'Refactor', 'Optimization']"
1,1,Task: Develop a chatbot for customer service,6.5414147235946265,0.5416010267295509,False,"['Chatbot Development', 'NLP', 'Machine Learning']","['Chatbot', 'Development', 'Task']","['Frontend', 'Chatbot', 'Development']"
2,3,Implement user profile page,3.5,0.783,True,"['Python', 'JavaScript', 'HTML/CSS']","['Front-end Development', 'User Profile Page']","['Frontend', 'User Profile', 'Page']"
3,6,Refactor: Optimize database indexing,7.094606207943143,0.6758891508132574,False,"['Database Optimization', 'Indexing', 'Database Performance']","['Database', 'Refactor', 'Optimization']","['Database', 'Refactor', 'Optimization']"
3,3,Implement user profile page,3.3633468807106204,0.7304851066021847,True,"['Python', 'JavaScript', 'HTML/CSS']","['Front-end Development', 'User Profile Page']","['Frontend', 'User Profile', 'Page']"
1,0,User story: Enhance accessibility,2.2,0.949,True,"['Accessibility', 'UI Design', 'UX']","['Accessibility', 'Enhancement', 'User Story']","['Accessibility', 'Enhance', 'User']"
1,3,Epic: Develop a machine learning pipeline for predictive analytics,10.5,0.932,False,"['Machine Learning', 'Pipeline Development', 'Analytics']","['Machine Learning', 'Pipeline', 'Analytics']","['Machine Learning', 'Pipeline', 'Analytics']"
0,5,Research: New cloud storage service,2.80746265446774,0.9333925758821168,True,"['Research', 'Cloud Storage', 'Cloud Computing']","['Research', 'New Tech', 'Cloud Storage']","['Research', 'Cloud Storage', 'New Tech']"
1,0,User story: Enhance security,3.2,0.927,True,"['Security', 'Authentication', 'Authorization']","['Security', 'Enhancement', 'User Story']","['Security', 'Enhancement', 'User']"
3,1,Task: Develop mobile app for iOS,7.419722729664743,0.5670407230764585,False,"['Mobile App Development', 'iOS', 'Swift']","['Mobile App', 'Development', 'iOS']","['Mobile App', 'Development', 'iOS']"
4,6,Refactor: Optimize database schema for performance,8.33608032711598,0.6602547506433412,False,"['Database Optimization', 'Schema Design', 'Database Performance']","['Database', 'Refactor', 'Optimization']","['Database', 'Refactor', 'Optimization']"
1,2,Task: Implement a content delivery network,4.830583180500647,0.8429978881473449,True,"['CDN', 'API Integration', 'Cloud Computing']","['CDN', 'Implementation', 'Task']","['Backend', 'CDN', 'Implementation']"
3,6,Refactor: Simplify API endpoints,5.132494629281937,0.6228868469301075,False,"['API Optimization', 'Endpoint Simplification', 'API Performance']","['API', 'Refactor', 'Simplification']","['API', 'Refactor', 'Simplification']"
2,1,Task: Develop a chatbot for customer support,6.2,0.591,False,"['Chatbot Development', 'NLP', 'Machine Learning']","['Chatbot', 'Development', 'Task']","['Frontend', 'Chatbot', 'Development']"
4,2,Task: Implement API gateway,5.113592692066241,0.4969889476045754,False,"['API Design', 'API Gateway', 'Microservices']","['API Gateway', 'Task', 'Implementation']","['Backend', 'API', 'Gateway']"
0,5,Research: New data storage solution,1.503997850607718,0.9352858671110869,True,"['Research', 'Data Storage', 'Cloud Computing']","['Research', 'New Tech', 'Data Storage']","['Research', 'Data Storage', 'New Tech']"
4,2,Task: Implement a load balancer for high traffic using Azure,9.801753766642378,0.5812161193016105,False,"['Load Balancer', 'API Integration', 'Cloud Computing']","['Load Balancer', 'Implementation', 'Task']","['Backend', 'Load Balancer', 'Implementation']"
1,0,User story: Improve performance,2.80746265446774,0.8737539021695679,True,"['Performance Optimization', 'Algorithm Design', 'Data Structures']","['Performance', 'Improvement', 'User Story']","['Performance', 'Improvement', 'User']"
3,1,Task: Develop a desktop application for macOS,5.2672076392305165,0.6547676148503431,False,"['Desktop App Development', 'macOS', 'Swift']","['Desktop App', 'Development', 'macOS']","['Desktop App', 'Development', 'macOS']"
3,1,Task: Develop mobile app for iOS,7.808480306412436,0.587656159933672,False,"['Mobile App Development', 'iOS', 'Swift']","['Mobile App', 'Development', 'iOS']","['Mobile App', 'Development', 'iOS']"
0,5,Research: New machine learning framework,2.515928739844087,0.899623965140991,True,"['Research', 'Machine Learning', 'Deep Learning']","['Research', 'New Tech', 'Machine Learning']","['Research', 'Machine Learning', 'New Tech']"
1,1,Task: Develop a desktop application for macOS,5.170480202894721,0.6386713858377638,False,"['Desktop App Development', 'macOS', 'Swift']","['Desktop App', 'Development', 'macOS']","['Desktop App', 'Development', 'macOS']"
1,2,Task: Implement a content management system,5.697183773045252,0.927336007514618,True,"['CMS', 'API Integration', 'Cloud Computing']","['CMS', 'Implementation', 'Task']","['Backend', 'CMS', 'Implementation']"
3,4,Bug: Fix database connection issue on PostgreSQL,12.254319813719976,0.6225824171925689,True,"['Bug Fixing', 'Database Administration', 'PostgreSQL']","['Bug Fixing', 'Database Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Database']"
0,0,User story: Improve user interface,1.9,0.958,True,"['UI Design', 'User Experience', 'Interaction Design']","['User Experience', 'Improvement', 'User Story']","['User Experience', 'Improvement', 'User']"
2,6,Refactor: Optimize database indexing,6.6420518731883895,0.6137536087053259,False,"['Database Optimization', 'Indexing', 'Database Performance']","['Database', 'Refactor', 'Optimization']","['Database', 'Refactor', 'Optimization']"
5,2,Task: Implement a load balancer for high traffic,7.014980636910722,0.5653562894009245,False,"['Load Balancer', 'API Integration', 'Cloud Computing']","['Load Balancer', 'Implementation', 'Task']","['Backend', 'Load Balancer', 'Implementation']"
1,0,User story: Enhance accessibility,2.321440091095589,0.931027872749674,True,"['Accessibility', 'UI Design', 'UX']","['Accessibility', 'Enhancement', 'User Story']","['Accessibility', 'Enhance', 'User']"
3,3,Spike: Test new caching framework,3.8,0.622,False,"['Caching Framework', 'Testing', 'Performance Optimization']","['Caching', 'Framework', 'Test']","['Performance', 'Caching', 'Test']"
5,4,Bug: Fix database connection issue on PostgreSQL,10.954901268600306,0.5774843946190962,True,"['Bug Fixing', 'Database Administration', 'PostgreSQL']","['Bug Fixing', 'Database Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Database']"
3,1,Task: Develop a web application for e-commerce,6.9188850117475615,0.6092040544204682,False,"['Web App Development', 'E-commerce', 'JavaScript']","['Web App', 'Development', 'E-commerce']","['Web App', 'Development', 'E-commerce']"
3,6,Refactor: Simplify database queries,4.2,0.685,False,"['Database Optimization', 'Query Simplification', 'Database Performance']","['Database', 'Refactor', 'Simplification']","['Database', 'Refactor', 'Simplification']"
4,2,Task: Implement a load balancer for high traffic using NGINX,9.8,0.621,False,"['Load Balancer', 'API Integration', 'Cloud Computing']","['Load Balancer', 'Implementation', 'Task']","['Backend', 'Load Balancer', 'Implementation']"
0,5,Research: New machine learning algorithm,1.825816878100051,0.919870134239788,True,"['Research', 'Machine Learning', 'Deep Learning']","['Research', 'New Tech', 'Machine Learning']","['Research', 'Machine Learning', 'New Tech']"
3,6,Refactor database schema,6.342147973767356,0.656779189703954,True,"['SQL', 'MongoDB', 'PostgreSQL']","['Database Schema', 'Refactoring', 'Database Design']","['Database', 'Refactor', 'Schema']"
2,2,Task: Implement a content delivery network for high traffic using Google Cloud,7.879841263379167,0.8648271951727015,True,"['CDN', 'API Integration', 'Cloud Computing']","['CDN', 'Implementation', 'Task']","['Backend', 'CDN', 'Implementation']"
4,3,Spike: Test new caching framework,4.084773271239992,0.6255997794729853,False,"['Caching Framework', 'Testing', 'Performance Optimization']","['Caching', 'Framework', 'Test']","['Performance', 'Caching', 'Test']"
2,6,Refactor: Optimize database schema for performance using MySQL,9.70784038094519,0.666141122863044,False,"['Database Optimization', 'Schema Design', 'MySQL']","['Database', 'Refactor', 'Optimization']","['Database', 'Refactor', 'Optimization']"
3,4,Bug: Fix deployment issue,7.118923159543199,0.571773951148883,True,"['Deployment', 'API Integration', 'Cloud Computing']","['Bug Fixing', 'Deployment Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Deployment']"
4,1,Task: Develop mobile app for iOS,7.111076262073883,0.5588257712065244,False,"['Mobile App Development', 'iOS', 'Swift']","['Mobile App', 'Development', 'iOS']","['Mobile App', 'Development', 'iOS']"
2,6,Refactor: Improve code organization,4.9,0.651,True,"['Code Organization', 'Refactoring', 'Code Quality']","['Code Quality', 'Refactor', 'Organization']","['Code Quality', 'Refactor', 'Organization']"
1,5,Research: New cloud storage service,3.009832936703152,0.9917064028301664,True,"['Research', 'Cloud Storage', 'Cloud Computing']","['Research', 'New Tech', 'Cloud Storage']","['Research', 'Cloud Storage', 'New Tech']"
4,4,Bug: Fix security vulnerability in React application,13.612080534151408,0.6112016488124836,True,"['Bug Fixing', 'Security', 'React']","['Bug Fixing', 'Security', 'Vulnerability']","['Frontend', 'Bug Fix', 'Security']"
3,6,Refactor database schema,5.669641884626475,0.6092040544204682,True,"['SQL', 'MongoDB', 'PostgreSQL']","['Database Schema', 'Refactoring', 'Database Design']","['Database', 'Refactor', 'Schema']"
0,5,Research: New natural language processing algorithm for language translation,5.957928760115956,0.9170713407279024,True,"['Research', 'NLP', 'Language Translation']","['Research', 'New Tech', 'NLP']","['Research', 'NLP', 'Language Translation']"
4,6,Refactor: Simplify database queries for performance,4.812793121944698,0.6493988915366453,False,"['Database Optimization', 'Query Simplification', 'Database Performance']","['Database', 'Refactor', 'Simplification']","['Database', 'Refactor', 'Simplification']"
2,1,Task: Develop a mobile app for Windows,7.303267512400204,0.5569599088652673,False,"['Mobile App Development', 'Windows', 'Java']","['Mobile App', 'Development', 'Windows']","['Mobile App', 'Development', 'Windows']"
2,6,Refactor: Simplify database queries for performance using SQL,5.937591826032046,0.6228868469301075,False,"['Database Optimization', 'Query Simplification', 'SQL']","['Database', 'Refactor', 'Simplification']","['Database', 'Refactor', 'Simplification']"
2,1,Task: Develop a desktop application for Windows,5.9157248790570245,0.6380391441628264,False,"['Desktop App Development', 'Windows', 'Python']","['Desktop App', 'Development', 'Windows']","['Desktop App', 'Development', 'Windows']"
4,4,Bug: Fix UI issue on iOS,8.151609117094843,0.5525609125992889,True,"['Bug Fixing', 'iOS Development', 'UI Design']","['Bug Fixing', 'UI Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'UI']"
4,1,Task: Develop chatbot,7.175360281568184,0.5847129738238206,False,"['Chatbot Development', 'NLP', 'Machine Learning']","['Chatbot', 'Development', 'Task']","['Frontend', 'Chatbot', 'Development']"
1,5,Research: New cloud storage solution,2.018008128426372,0.9208030654104168,True,"['Research', 'Cloud Storage', 'Cloud Computing']","['Research', 'New Tech', 'Cloud Storage']","['Research', 'Cloud Storage', 'New Tech']"
2,6,Refactor: Improve code quality,3.4594425058737808,0.6101369855910967,True,"['Code Review', 'Refactoring', 'Code Quality']","['Code Quality', 'Refactor', 'Improvement']","['Code Quality', 'Refactor', 'Improvement']"
2,3,Implement user profile page,3.5093283180846755,0.7412235161416811,True,"['Python', 'JavaScript', 'HTML/CSS']","['Front-end Development', 'User Profile Page']","['Frontend', 'User Profile', 'Page']"
1,2,Task: Implement a content management system,5.3,0.922,True,"['CMS', 'API Integration', 'Cloud Computing']","['CMS', 'Implementation', 'Task']","['Backend', 'CMS', 'Implementation']"
4,4,Bug: Fix deployment issue,6.822789386584401,0.5634904270596673,True,"['Deployment', 'API Integration', 'Cloud Computing']","['Bug Fixing', 'Deployment Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Deployment']"
1,0,User story: Improve password security for authentication,4.3,0.911,True,"['Security', 'Password Management', 'Authentication']","['Security', 'Improvement', 'User Story']","['Security', 'Password', 'Authentication']"
3,2,Task: Implement a load balancer for high traffic,7.702960302271727,0.5945235941899921,False,"['Load Balancer', 'API Integration', 'Cloud Computing']","['Load Balancer', 'Implementation', 'Task']","['Backend', 'Load Balancer', 'Implementation']"
3,1,Task: Develop a chatbot for customer support,6.216524449178568,0.5594675581605791,False,"['Chatbot Development', 'NLP', 'Machine Learning']","['Chatbot', 'Development', 'Task']","['Frontend', 'Chatbot', 'Development']"
3,1,Task: Develop a desktop application for Windows,6.342147973767356,0.6779007256668683,False,"['Desktop App Development', 'Windows', 'Python']","['Desktop App', 'Development', 'Windows']","['Desktop App', 'Development', 'Windows']"
1,0,User story: Improve scalability,3.271120128361966,0.9084634459074796,True,"['Scalability', 'System Design', 'Cloud Computing']","['Scalability', 'Improvement', 'User Story']","['Scalability', 'Improvement', 'User']"
1,5,Research: New machine learning algorithm for natural language processing,3.547303103971572,0.9907006154033609,True,"['Research', 'Machine Learning', 'Deep Learning']","['Research', 'New Tech', 'Machine Learning']","['Research', 'Machine Learning', 'New Tech']"
0,5,Research: New natural language processing algorithm for sentiment analysis,5.9091202318796805,0.9653650440312744,False,"['Research', 'NLP', 'Deep Learning']","['Research', 'New Tech', 'NLP']","['Research', 'NLP', 'New Tech']"
3,6,Refactor: Simplify database queries,4.5147494050547285,0.6889643873617282,False,"['Database Optimization', 'Query Simplification', 'Database Performance']","['Database', 'Refactor', 'Simplification']","['Database', 'Refactor', 'Simplification']"
1,5,Research: New machine learning algorithm for recommender systems using TensorFlow,6.234653940313672,0.9866774656961392,True,"['Research', 'Machine Learning', 'Deep Learning']","['Research', 'New Tech', 'Machine Learning']","['Research', 'Machine Learning', 'New Tech']"
2,1,Task: Develop a web application for online shopping,7.591554387889686,0.6045393985673253,False,"['Web App Development', 'Online Shopping', 'JavaScript']","['Web App', 'Development', 'Shopping']","['Web App', 'Development', 'Shopping']"
5,4,Bug: Fix deployment issue,6.822789386584401,0.5634904270596673,True,"['Deployment', 'API Integration', 'Cloud Computing']","['Bug Fixing', 'Deployment Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Deployment']"
3,6,Refactor: Optimize database schema,5.5,0.652,False,"['Database Optimization', 'Schema Design', 'Database Performance']","['Database', 'Refactor', 'Optimization']","['Database', 'Refactor', 'Optimization']"
2,0,User story: Enhance user authentication,2.4023906290790147,0.8694918510258444,True,"['Security', 'Authentication', 'Authorization']","['Security', 'Enhancement', 'User Story']","['Security', 'Enhancement', 'User']"
0,5,Research: New AI-powered chatbot for customer support using Dialogflow,4.913059645318546,0.932445930267632,True,"['Research', 'Chatbot Development', 'NLP']","['Research', 'New Tech', 'Chatbot']","['Research', 'Chatbot', 'New Tech']"
5,4,Bug: Fix security vulnerability in React application,12.396335646047715,0.5812161193016105,True,"['Bug Fixing', 'Security', 'React']","['Bug Fixing', 'Security', 'Vulnerability']","['Frontend', 'Bug Fix', 'Security']"
3,6,Refactor: Improve code organization,5.2672076392305165,0.6547676148503431,True,"['Code Organization', 'Refactoring', 'Code Quality']","['Code Quality', 'Refactor', 'Organization']","['Code Quality', 'Refactor', 'Organization']"
3,4,Bug: Fix payment issue,6.858800269146059,0.6161069589955694,True,"['Bug Fixing', 'Payment Gateway', 'API Integration']","['Bug Fixing', 'Payment Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Payment']"
1,2,Task: Implement a content delivery network for high traffic,6.1,0.923,True,"['CDN', 'API Integration', 'Cloud Computing']","['CDN', 'Implementation', 'Task']","['Backend', 'CDN', 'Implementation']"
4,3,Spike: Test new caching library,3.3633468807106204,0.5802831881309819,False,"['Caching Library', 'Testing', 'Performance Optimization']","['Caching', 'Library', 'Test']","['Performance', 'Caching', 'Test']"
3,4,Bug: Fix database connection issue on PostgreSQL,11.472635053689038,0.5653474461139831,True,"['Bug Fixing', 'Database Administration', 'PostgreSQL']","['Bug Fixing', 'Database Issue', 'Fix Bug']","['Backend', 'Bug Fix', 'Database']"
1,0,User story: Enhance user authentication,2.6873508363421,0.9373938817826724,True,"['Security', 'Authentication', 'Authorization']","['Security', 'Enhancement', 'User Story']","['Security', 'Enhancement', 'User']"
1,0,User story: Improve scalability,2.978964380057978,0.8638942640020728,True,"['Scalability', 'System Design', 'Cloud Computing']","['Scalability', 'Improvement', 'User Story']","['Scalability', 'Improvement', 'User']"
1,0,User story: Enhance security,2.5,0.945,True,"['Security', 'Authentication', 'Authorization']","['Security', 'Enhancement', 'User Story']","['Security', 'Enhance', 'User']"
3,6,Refactor: Simplify API endpoints,4.900876883321189,0.6362590583686973,False,"['API Optimization', 'Endpoint Simplification', 'API Performance']","['API', 'Refactor', 'Simplification']","['API', 'Refactor', 'Simplification']"
